,Y_test,default_linear_learner,default_tree_learner,linear_svr_learner,kernel_ridge_learner,esn_ridge_learner,esn_kernel_ridge_learner,esn_linear_svr_learner,lasso_learner
14389,0.0,-0.018155551000000002,-0.070445838,-0.09935538,-0.060888662999999996,-0.012538757,0.042198018,0.164186848,-0.10142735048421195
14390,0.0,8.9e-05,-0.070445838,-0.07377566599999999,-0.032198594,-0.010206096,0.076292387,0.122567333,-0.07608562281684686
14391,8.159999999999999e-05,0.060895929,0.007484455,0.011220206000000002,0.058437199,0.002227914,0.103253861,0.143538232,0.008386802741037704
14392,0.000972633,0.06749797,0.071989732,0.023997365,0.06622409900000001,0.135777914,0.099972387,0.140878856,0.01739719480054422
14393,0.019280542,0.079079541,0.132823828,0.03484859,0.085387004,0.198031012,0.08261424,0.143502178,0.03372853040840188
14394,0.044655072999999997,0.130005528,0.13927901,0.113792633,0.14738197,0.42666639700000003,0.092510008,0.170009548,0.1041222183733057
14395,0.009501685,0.096251177,0.124107038,0.06330980900000001,0.106230429,0.443161023,0.071549244,0.146291232,0.05738080956460955
14396,0.001615571,0.056382469000000004,0.045906887,0.003250055,0.052591751,0.36824478299999996,0.036212781,0.094121394,0.0021921582001257823
14397,0.03342834,0.065878387,-0.052835806,0.021792689,0.063838041,0.33888369100000004,0.028342975,0.071004617,0.015144596785668017
14398,0.054564289,0.087230357,0.041376034,0.047564674,0.09535717199999999,0.252877048,0.039088511,0.069876377,0.04499152048278639
14399,0.013677617,0.034879737,-0.031044657000000003,-0.027346028999999997,0.020953491,0.095110679,0.020283515,0.021057017,-0.02765476549699362
14400,0.00039234400000000004,0.047151730999999995,-0.002911103,-0.006807324,0.038473996,-0.003241306,0.024613704,0.004862114,-0.01076028038541692
14401,0.081661969,0.015775992,-0.070445838,-0.055607448,-0.007706939,-0.102313037,0.011105445,-0.029746881,-0.05412279217179712
14402,0.009926303000000001,0.02446984,-0.061235156,-0.037920077,0.004437162,-0.152694757,0.014286306,-0.037623587,-0.042296652593693335
14403,3.48e-05,-0.029278157000000003,-0.061943882,-0.12033001199999999,-0.08022846900000001,-0.232709792,-0.013423043,-0.085298322,-0.11663238708463096
14404,0.027191336,0.017960466,-0.070445838,-0.047732065,-0.005009787,-0.217098703,0.003291502,-0.067401878,-0.05130704465320082
14405,0.008961896,0.035014155,-0.030329376,-0.023044929,0.020236017,-0.23079270100000002,0.022423837999999998,-0.043172256,-0.02765476549699362
14406,0.058483932,0.056484929,0.007484455,0.006528578,0.051856988,-0.194439428,0.044666419000000006,-0.015225717,0.0021921582001257823
14407,0.100657113,0.072314765,0.071989732,0.029268937999999998,0.073988783,-0.145165602,0.06454109599999999,0.010294203,0.024154988845175494
14408,0.08232895400000001,0.085305695,0.124107038,0.048002775,0.09160115,-0.099339607,0.081327723,0.032051126,0.04217577296419057
14409,0.085293682,0.090637077,0.24354564399999998,0.057335410999999996,0.09744440800000001,-0.072188614,0.091150001,0.049008172,0.049496716512540936
14410,0.08778443400000001,0.08205854900000001,0.124107038,0.043338085,0.08723753199999999,-0.045421739,0.091421979,0.047617842,0.037670576934436525
14411,0.06927212599999999,0.08167358400000001,0.124107038,0.043424653,0.086399111,-0.016580552,0.090306943,0.046934794,0.03710742743071772
14412,0.005675699,0.056890822,0.007484455,0.007111664,0.052432953,-0.021439821,0.075612839,0.025095866,0.0027553077038453325
14413,0.04649023,0.054729152999999996,0.482915259,-3.4e-05,0.051045022,-0.010366687,0.065489807,0.0105795,-6.043981475086734e-05
14414,0.029477056,0.044716372000000004,-0.002911103,-0.010305841,0.034950522000000005,-0.011373371,0.055867565,-0.005150805,-0.014139177407731742
14415,0.0034583220000000002,0.061227665,0.045906887,0.00943042,0.060204417,0.005750318000000001,0.058191590999999994,0.001352725,0.008949952244756271
14416,0.07073772099999999,0.079677595,0.006972896,0.041580433,0.082797048,0.061252528,0.069717818,0.021136217000000002,0.034291679912121356
14417,0.052013421,0.055582463,0.045906887,0.002460844,0.051238055,0.044592945,0.06121280900000001,0.010275276,0.001065859192686865
14418,0.047617902999999996,0.062596602,0.071989732,0.016019603,0.060169930999999996,0.05455056900000001,0.061830139000000006,0.013151143,0.010639400755914014
