,02. ws+wd-3,03. ws+wd-6,04. ws+sin(wd),08. ws+sin(wd)+cos(wd),09. ws+sin(wd)+cos(wd)-2,10. ws+sin(wd)+cos(wd)-3,14. ws*sin(wd)+ws*cos(wd),15. ws*sin(wd)+ws*cos(wd)-2,16. ws*sin(wd)+ws*cos(wd)-3
default_linear_learner,0.01770317481778867,0.017551107376958305,0.012653020761370346,0.012644396357596155,0.01795191901442454,0.0180250072938577,0.037676559880288125,0.021493455423812095,0.021565456480275188
default_tree_learner,0.016483088278020554,0.017458153522966896,0.017752744694280564,0.01678627757247019,0.01693754046075093,0.017939825419549388,0.016506081067096147,0.019122959259774166,0.01777338470706736
lasso_learner,0.020280171881169436,0.020294730246609452,0.01436826897676288,0.014370642817723323,0.02033801316634925,0.02034296546212874,0.03193434224210541,0.02636847698056041,0.026368268247137387
linear_svr_learner,0.013617855585087334,0.012780643164227659,0.013276782631140231,0.013556153398763905,0.014779469363076881,0.013784057260616552,0.037442861977821554,0.023268797126449095,0.023105001383501873
kernel_ridge_learner,0.015419107163112705,0.015558410305070335,0.01325351314541602,0.012967950879341347,0.015368808466487745,0.015593760571111307,0.012938935513544504,0.01792069326069342,0.018251723466355278
esn_ridge_learner,0.016420033335951094,0.01635030487634281,0.01419286765875124,0.014218965479952725,0.015801467609910802,0.01548346894669335,0.01549441441533984,0.018696010916704416,0.018091218790644552
esn_kernel_ridge_learner,0.015455374656509048,0.015873901250471275,0.01265742209364941,0.01279897033705112,0.016903167250893705,0.016469806905113335,0.11153116358044281,0.019463688425984983,0.019457375877934276
esn_linear_svr_learner,0.015481945192841982,0.016008688291988,0.012534778306015402,0.013679240575767434,0.01691924102738112,0.01731757481238185,0.03689197864390657,0.022587457293190973,0.02148363895911848
