,Y_test,default_linear_learner,default_tree_learner,lasso_learner,linear_svr_learner,kernel_ridge_learner,esn_ridge_learner,esn_kernel_ridge_learner,esn_linear_svr_learner
0,1.29,322.92681004287533,-848.6313275809556,-607.2676201592377,-299.434284470035,-198.83435755871096,2547.1341102533447,-71.60177894589685,2381.4081734081733
1,15.37,51.758581673275565,-1042.6072873605272,-750.7047966355757,-384.3127652630971,-419.2971016111476,2.461602770118895,548.7444727197724,2023.096813461052
2,304.68,163.64720462109184,-1042.6072873605272,-602.8394332652391,-84.42440073487778,-351.90305316405687,69.55516581105378,358.71703370030514,1127.3576361717621
3,705.66,771.1060828911865,972.6745118000049,135.53387064316132,656.0432936549541,565.5790663959467,1452.5010065713159,968.4850581965827,1196.246515492291
4,150.15,270.5794199321399,-53.98680843658089,-344.4327151957951,281.5428078991706,1.2124320730626392,1938.423583693173,875.7756294677266,580.0037111595385
5,25.53,-53.399352096107386,-848.6313275809556,-935.9847053658689,-284.8728693046339,-445.5571741963451,2182.9028918231024,208.0740975883001,-162.75645994737027
6,528.25,226.69126117297898,-848.6313275809556,-724.96806208796,-177.3259726188723,-317.9274044348765,1421.9889609860102,384.1349262967416,-273.9848489054911
7,862.25,421.40769620208454,-53.98680843658089,-304.3174167854152,187.49024055836054,141.96556126997874,1749.4768083135436,574.9675425105071,-12.800485505261044
8,216.14,-131.57549273383404,-521.7285839689429,-960.106175518717,-522.1886183626574,-479.52534939016124,192.0595424717929,236.6293162092902,-115.52558313269185
9,6.2,124.93368573259816,-1159.8209872114776,-829.9966634988909,-480.4584146952506,-295.78317386379,791.7166989519302,93.37832639122487,-260.858419052308
10,1290.46,-433.467277411047,-1159.8209872114776,-1381.62512673448,-1054.8974712644488,-929.8927913075397,-58.091793420208255,-294.3313611694254,-414.2401194619516
11,156.86,328.0028130124888,690.8462116679361,-703.009490687291,-357.6381882289002,16.139663797961866,808.1065932064254,132.45801001031467,13.088998702965036
12,0.55,-755.8868458130647,-1159.8209872114776,-1839.0290538886102,-1674.7728936178016,-1105.4660510498304,-911.8480802244319,-538.7777259299055,-554.9772528427211
13,429.69,71.14991803536061,-933.7442701395325,-1093.951422724561,-836.3018518294904,-471.8046788966763,169.91387138868805,-246.03769342664438,-344.2879570381651
14,141.62,79.16468659824845,-1159.8209872114776,-877.0436440961638,-579.1724802768474,-347.85334951026283,12.824752967976032,80.71851844336875,77.13746204567877
15,924.19,203.62432985350725,-848.6313275809556,-736.9406290413359,-278.82140385858594,-270.7393623269376,233.34989205327605,-93.77895426171445,-28.83491509150871
16,1590.63,532.5172443594033,-53.98680843658089,-318.2671977245746,218.70075229394524,159.01897425243445,327.80285269196133,298.7885509160284,375.4606115145971
17,1301.0,748.0825641947634,1338.4257391506808,36.10027399012406,480.2524495387515,682.7403009945482,820.4210617637555,762.1684163442987,710.6586809105952
18,1347.85,605.1458334069952,1393.7439791690667,-65.37677547540883,378.27116011362443,521.2751856705318,793.5448964604736,753.5740293733996,495.0103777609373
19,1387.21,525.5525400272875,617.5734115668201,-168.73402333388924,311.6489208401935,458.59200037279663,887.8564184116705,447.9898373229717,413.21938217483716
