,Y_test,default_linear_learner,default_tree_learner,lasso_learner,linear_svr_learner,kernel_ridge_learner,esn_ridge_learner,esn_kernel_ridge_learner,esn_linear_svr_learner
1068,693.72,573.2957989365307,950.2218549779136,-163.21129201359946,883.0699924482677,277.42229061568855,316.70258533569654,405.3067448594536,-479.23734476913
1069,1747.9599999999998,694.7382820057259,950.2218549779136,-29.34194445010965,994.2951313580808,416.5644350360196,417.2296494496375,440.29615645669855,-110.59578459241533
1070,1559.5100000000002,916.7828020168397,1914.4606543483885,256.69876577042106,1327.5550680669717,722.3709498123748,715.4028799542112,630.0155976242645,297.85162031273944
1071,2053.45,644.1558995191986,1049.4923772938325,-13.095844639281838,916.745259228712,539.4084088443756,197.0169341041611,645.6788912305319,243.96955095968178
1072,3294.05,1320.7161137855676,1914.4606543483885,734.8558704338434,1625.3474037165327,1296.2500279224737,1289.3216722521554,1156.8731177966397,726.3951619918439
1073,6017.35,1841.6330673709467,3522.9013467969735,1575.4659855906318,2467.8676175656205,2065.9731066005074,2234.606993614175,2017.7794746336604,1683.2577568374975
1074,7431.539999999999,3239.765961237965,3492.805438384936,3365.848485694234,4288.877970414293,3700.8465800226118,4061.7665781187493,3282.0442306272334,3596.214076907947
1075,8085.960000000001,2906.689104056357,3891.9920833476235,3295.485110911756,4121.1101678890855,3628.1129489120476,3614.743458991655,3684.5722104053534,4298.125540267923
1076,6345.549999999999,3188.2921252031933,3891.9920833476235,3437.764178043653,4177.491412971141,3828.385659505624,3752.3937788237126,3695.183202383983,4569.9032121388345
1077,6419.34,2431.1070679507907,2570.2195331647044,2686.564877362709,3245.342378950867,3148.146449936995,3363.3616109044488,3357.400328141866,3654.9376526767346
1078,7811.330000000001,3048.6171251729234,2570.2195331647044,3207.8968806333046,3739.7588864389263,3643.502898084878,3908.1435129331553,3594.1921714064815,3785.0166892123307
1079,8077.08,3212.6816901514153,3891.9920833476235,3524.162234004294,4145.68077811866,3734.4150171840392,3626.7195632716525,3985.5178960242265,4307.315551685589
1080,7797.3,3243.9288982410626,3891.9920833476235,3518.3338857349077,4139.359394360242,3666.6252575658336,3162.5657762732694,3832.841256278212,4582.484876989259
1081,5779.049999999999,2956.718731396809,3891.9920833476235,3156.012549800557,3710.799023706584,3438.16324130082,2988.1196502735697,3580.1384473435237,4204.7187780889635
1082,9271.43,3258.1213853508,2570.2195331647044,3601.8477822134005,4049.492171089223,3898.634933412774,3949.280702877508,3722.6889161603613,3723.668976232179
1083,8843.31,3908.3540901281685,3891.9920833476235,4445.236476833254,5055.719009674917,4339.599391752966,4121.959499210394,4428.135941644234,4650.765251982989
1084,8180.49,3685.2129837471307,3891.9920833476235,4304.698329951772,4878.645933723777,4078.305732232312,3775.722216575996,4252.933707494384,4753.207211932662
1085,6594.58,3239.7088703400354,3891.9920833476235,3710.213139918986,4276.85433202913,3668.101803046819,3411.527178987571,3642.0037515984445,4397.734032439127
1086,4534.5,2380.345115684689,2570.2195331647044,2533.4701674511903,3012.6186528020194,2969.8544911585414,2814.042157512996,3062.361780435112,2989.3103807835587
1087,6853.24,2707.391032716574,2570.2195331647044,2854.4449728708587,3384.765709809814,3444.131625890706,3681.1510280333946,3137.3355174282583,2587.5630280887412
1088,9887.42,3490.890317012421,3492.805438384936,3897.203341591186,4610.572870297066,4058.061141292441,3831.4524208742614,3916.1185378538325,3722.0344631904895
1089,7881.060000000001,4091.984780913141,3891.9920833476235,4675.750841994539,5536.514761173578,4431.223032016607,4011.3245738290093,4463.716722853536,5107.44191490843
1090,6455.19,2765.8970983164863,3891.9920833476235,3214.7193779631903,3938.7796773965383,3261.825071617006,2699.571238772348,3448.621266567427,4337.192994364626
1091,3928.43,2400.962619348977,2570.2195331647044,2392.4058621094337,3011.7990678449905,2985.5343742733526,2600.0601231444202,2750.867413228408,2984.312598239688
1092,6318.16,2154.4412022143815,2005.9901634276407,2203.7089523325567,2713.001188608242,2942.7052338428975,2991.5768368622976,2852.9783930908006,1908.0849794378548
1093,6461.3,2802.302962386436,3492.805438384936,2843.658309955461,3523.3077250662927,3377.9469633066137,2831.4387801138632,3306.4034206365236,2987.6879926044635
1094,6196.14,3005.932285351963,2570.2195331647044,3216.0769353753653,3930.3133262980723,3556.3398377128296,3237.989742023688,3459.518189427514,3673.95803460361
1095,3103.93,2381.357968827408,2570.2195331647044,2521.9373187331826,3217.0794561760417,2959.318975579558,2452.0316078391743,2973.3523471268577,3474.210917123649
1096,2467.58,1780.6458174508814,2005.9901634276407,1751.71944091248,2296.786940739504,2506.997793192698,2306.533343114977,2384.125260454618,2060.278473977054
1097,3363.93,1708.3642087366475,2005.9901634276407,1677.997872394116,2352.6611130452293,2378.5701574727436,2483.747167244887,2374.310736702232,1580.6158472641546
1098,1109.64,1016.1393746201595,2005.9901634276407,704.9970056812317,1528.2439897413437,1494.1333955110226,1355.3107864526705,1938.9175843483545,1335.4039733869743
1099,292.42,221.48397899900004,214.5367989586569,-517.0134104347147,380.91290890690266,486.60296843136643,378.53753804509665,827.7491550488369,349.3273245929143
1100,8.02,116.02743688717123,-1167.6326603342984,-883.7008775094927,64.40900050117467,93.29567363227224,-75.25618299956525,409.5474839030039,-424.7643791679733
1101,91.47,73.74098222340689,-1167.6326603342984,-974.1010506591751,-68.28056839761018,-185.75620854447186,-617.9855320951781,376.44871087927316,-585.0990744111225
1102,251.47000000000003,308.7554637459215,-846.4844738094932,-691.9937979226689,213.7920069454036,-90.3911805448712,-396.4511184489942,200.91151229378528,-181.23715453597737
1103,1217.21,633.4063230372038,950.2218549779136,-171.58888780315883,663.206169472505,254.54708679027974,170.92655858209244,285.3647107337828,126.26477066425417
1104,1651.89,937.8161310270397,1914.4606543483885,369.16572064889897,1141.9687844840525,718.4469708510876,937.8874763173859,620.1915322143233,513.0217592867764
1105,4668.45,1564.4790428371516,1914.4606543483885,1316.8530182644931,2076.4622153864093,1588.290818559877,2028.361844300126,1208.1173890145785,1003.291574955624
1106,3551.75,1748.347339271685,3492.805438384936,1625.0992649627112,2493.6436208646965,2060.5855064668226,2613.6137956316747,1745.9314265743606,1786.9658383083015
1107,3275.2499999999995,1349.190041523936,2005.9901634276407,1133.709815741901,1907.8941975481064,1749.538757338516,1999.8794189095074,1444.4856964698954,1468.6322471795606
