1.000000000000000000e+04,1.000000000000000000e+03
9.600000000000000000e+03,1.000000000000000000e+03
9.600000000000000000e+03,1.000000000000000000e+03
3.732000000000000000e+03,1.000000000000000000e+03
3.727000000000000000e+03,1.000000000000000000e+03
3.727000000000000000e+03,1.000000000000000000e+03
2.910000000000000000e+03,1.000000000000000000e+03
9.600000000000000000e+03,1.000000000000000000e+03
9.600000000000000000e+03,9.610000000000000000e+02
3.747000000000000000e+03,1.000000000000000000e+03
9.600000000000000000e+03,1.000000000000000000e+03
3.747000000000000000e+03,1.000000000000000000e+03
3.732000000000000000e+03,1.000000000000000000e+03
6.916000000000000000e+03,1.000000000000000000e+03
3.654000000000000000e+03,9.610000000000000000e+02
3.732000000000000000e+03,1.000000000000000000e+03
9.600000000000000000e+03,9.610000000000000000e+02
2.910000000000000000e+03,1.000000000000000000e+03
7.229000000000000000e+03,1.000000000000000000e+03
4.904000000000000000e+03,1.000000000000000000e+03
